node_id,candidate_id,background_id,vacuum_type,tau,W0,D,energy,abs_energy,lambda_min,F_bridge,F_pheno,Delta_Q_10,Delta_dim,Delta_E,R_support,rank_energy_minima,rank_bridge_minima,rank_pheno_minima
0,0,0,AdS minimum,105.35489420376562,-0.00022562137073883952,4.1249999999999997e-10,-3.364864469033528e-15,3.364864469033528e-15,3.881592962114932e-12,-1.992408339672047,-1.9156083395814685,0.08,0.009035866390549298,6.610085993691755e-08,0.36787950048026463,35.0,24.0,24.0
1,2,1,dS minimum,110.54527557475109,-0.00015802517097867976,5.296875e-10,5.405006277784081e-15,5.405006277784081e-15,1.2219073557449175e-12,-1.2891084946868416,-0.9819084944531289,0.16,0.008198948699778136,2.1644305985493775e-07,0.3678794628058791,52.0,47.0,47.0
2,5,3,dS minimum,113.10148615760932,-0.0001379533336719297,5.4375e-10,6.819406431689692e-15,6.819406431689692e-15,6.302252481791885e-13,-1.0431561128576954,-0.5631561124856609,0.2,0.007829666753217814,3.583291796727097e-07,0.367879450174851,62.0,61.0,61.0
3,7,4,dS minimum,106.27487878629756,-0.00021420728544292676,5.578125e-10,1.1764708817581917e-15,1.1764708817581917e-15,3.130681673182515e-12,-0.6557016446748484,0.28509835533622435,0.28,0.008878225072198011,2.563968630565554e-08,0.36787948721088704,14.0,77.0,77.0
4,9,5,AdS minimum,105.3446585472952,-0.000227075075579055,4.546875e-10,-2.5887126899882362e-15,2.5887126899882362e-15,3.865130639771346e-12,-2.611664655946333,-2.5924646558927216,0.04,0.009037644440588532,5.020476260319066e-08,0.3678794982488479,27.0,9.0,9.0
5,12,6,AdS minimum,101.48565290124209,-0.00031532694659733995,5.4375e-10,-1.4122724124775823e-14,1.4122724124775823e-14,8.2262803751547e-12,-1.2799385632796478,-0.9727385616840372,0.16,0.009748494328019344,1.4203530388188515e-07,0.3678795168010891,75.0,56.0,56.0
6,14,7,AdS minimum,104.98153953865791,-0.00023425989283306855,4.6875e-10,-3.1509935702007135e-15,3.1509935702007135e-15,4.154984686672897e-12,-1.991676349663135,-1.914876349583705,0.08,0.009101072323854422,5.7418472713938386e-08,0.3678794996813187,34.0,25.0,25.0
7,17,8,AdS minimum,104.01550566929345,-0.0002576328512905364,6.234375e-10,-2.7112053391451424e-15,2.7112053391451424e-15,4.966136097912086e-12,-1.587604771977871,-1.4148047719190657,0.12,0.00927319118186928,4.084697796577436e-08,0.3678794985138402,29.0,45.0,45.0
8,19,9,dS minimum,118.0189502575472,-0.00010723167915197658,4.21875e-10,5.682582840659357e-15,5.682582840659357e-15,1.3769826204626613e-13,-2.0133871137356336,-1.9365871134772996,0.08,0.007187028460868238,4.941963826363488e-07,0.36787944196923994,54.0,16.0,16.0
9,22,11,AdS minimum,101.43926460828784,-0.00031578428561606275,5.0625e-10,-1.5120518506755212e-14,1.5120518506755212e-14,8.276531094338398e-12,-1.2798851110272786,-0.972685109198238,0.16,0.009757558512759208,1.5163018165845746e-07,0.36787951842135075,76.0,57.0,57.0
10,24,13,dS minimum,109.40193630123306,-0.0001650300486436042,4.1249999999999997e-10,2.494950291988872e-15,2.494950291988872e-15,1.658814773530453e-12,-1.9998831018530765,-1.9230831018032783,0.08,0.008372798924839345,9.160851476370655e-08,0.36787947629496276,26.0,18.0,18.0
11,26,14,AdS minimum,104.22883411162215,-0.0002501234831286876,5.0625e-10,-4.372333158560342e-15,4.372333158560342e-15,4.821294027207738e-12,-1.5879019296140673,-1.415101929461129,0.12,0.009234753476042424,6.988827330519992e-08,0.36787950235048694,43.0,41.0,41.0
12,29,15,AdS minimum,103.97442105786975,-0.00025699234433828374,5.671875e-10,-3.921326889136822e-15,3.921326889136822e-15,5.041480392506726e-12,-2.606721788983457,-2.5875217888604425,0.04,0.009280622151582795,5.9373503323192717e-08,0.3678795011557317,39.0,12.0,12.0
13,31,19,dS minimum,107.54821246116265,-0.00018951711645253562,4.1249999999999997e-10,4.589950657555417e-16,4.589950657555417e-16,2.4664924716403766e-12,-1.0391373657088208,-0.5591373657071352,0.2,0.008666911778265358,1.2779419808647022e-08,0.3678794874625948,6.0,68.0,68.0
14,33,20,AdS minimum,105.75085678814031,-0.0002164337705321644,3.46875e-10,-3.7629424240572614e-15,3.7629424240572614e-15,3.6180633944197636e-12,-4.318985351294914,-4.318985351181635,0.0,0.008967494026858066,8.032995477494943e-08,0.3678795020773164,37.0,4.0,4.0
15,35,21,AdS minimum,104.09277439203181,-0.0002507886208332338,4.265625e-10,-6.300355461532837e-15,6.300355461532837e-15,5.003621629223404e-12,-1.587712238453433,-1.4149122381358772,0.12,0.009259240409871205,1.0017270433698324e-07,0.36787950697806043,60.0,43.0,43.0
16,37,22,AdS minimum,104.9565930377393,-0.00023283493508849756,4.03125e-10,-4.461358351983369e-15,4.461358351983369e-15,4.214584070908898e-12,-1.5889028272701224,-1.4161028271108926,0.12,0.00910545498717618,8.229450207820805e-08,0.3678795032884024,44.0,38.0,38.0
17,39,23,dS minimum,105.92786667353303,-0.00022086386718176868,5.859375e-10,1.0717286784235561e-15,1.0717286784235561e-15,3.351930600462769e-12,-4.322377328396414,-4.322377328387225,0.0,0.008937186069022213,2.1970275757315812e-08,0.367879488048837,13.0,3.0,3.0
18,41,25,AdS minimum,103.69888258520857,-0.0002595395648007616,4.40625e-10,-7.221441828803893e-15,7.221441828803893e-15,5.408075032740923e-12,-2.6057052263234692,-2.5865052259062753,0.04,0.009330696802197103,1.0720542752114695e-07,0.3678795085267003,63.0,13.0,13.0
19,43,26,AdS minimum,103.37597094393735,-0.000262667051769836,2.8125e-10,-1.1403411545068124e-14,1.1403411545068124e-14,5.672212227645099e-12,-1.5867013178146852,-1.4139013167743828,0.12,0.009389912769520838,1.6528125397235483e-07,0.36787951823860754,74.0,46.0,46.0
20,45,27,AdS minimum,103.87807823174968,-0.00025667117539308643,4.78125e-10,-5.937258360812534e-15,5.937258360812534e-15,5.194300205762147e-12,-1.2825957903748364,-0.9753957900928281,0.16,0.009298083703559674,9.01221925401749e-08,0.36787950573536976,57.0,54.0,54.0
21,47,28,AdS minimum,104.03169742455022,-0.000252441581774694,4.40625e-10,-6.206529553313801e-15,6.206529553313801e-15,5.057307922687141e-12,-1.5876269722473304,-1.4148269719391622,0.12,0.009270265099259071,9.739284269450148e-08,0.3678795066349209,59.0,44.0,44.0
