analysis,monitor,event_id,run_id,event_time,event_tau,lead_time,detected
primary,W_MAAT,0,0,14.0,14.0,1.25,1
primary,W_MAAT,1,0,17.05,17.05,2.0,1
primary,W_MAAT,2,1,9.55,42.55,1.2999999999999972,1
primary,W_MAAT,3,4,12.1,144.1,0.4000000000000057,1
primary,max_abs_vorticity,0,0,14.0,14.0,1.6500000000000004,1
primary,max_abs_vorticity,1,0,17.05,17.05,,0
primary,max_abs_vorticity,2,1,9.55,42.55,1.6499999999999986,1
primary,max_abs_vorticity,3,4,12.1,144.1,,0
primary,rms_vorticity,0,0,14.0,14.0,,0
primary,rms_vorticity,1,0,17.05,17.05,,0
primary,rms_vorticity,2,1,9.55,42.55,0.04999999999999716,1
primary,rms_vorticity,3,4,12.1,144.1,2.0,1
primary,palinstrophy,0,0,14.0,14.0,2.0,1
primary,palinstrophy,1,0,17.05,17.05,,0
primary,palinstrophy,2,1,9.55,42.55,,0
primary,palinstrophy,3,4,12.1,144.1,2.0,1
primary,high_mode_fraction,0,0,14.0,14.0,0.4499999999999993,1
primary,high_mode_fraction,1,0,17.05,17.05,2.0,1
primary,high_mode_fraction,2,1,9.55,42.55,2.0,1
primary,high_mode_fraction,3,4,12.1,144.1,0.04999999999998295,1
ablation,W_MAAT,0,0,14.0,14.0,1.25,1
ablation,W_MAAT,1,0,17.05,17.05,2.0,1
ablation,W_MAAT,2,1,9.55,42.55,1.2999999999999972,1
ablation,W_MAAT,3,4,12.1,144.1,0.4000000000000057,1
ablation,robustness_loss_only,0,0,14.0,14.0,,0
ablation,robustness_loss_only,1,0,17.05,17.05,,0
ablation,robustness_loss_only,2,1,9.55,42.55,,0
ablation,robustness_loss_only,3,4,12.1,144.1,,0
ablation,activity_only,0,0,14.0,14.0,2.0,1
ablation,activity_only,1,0,17.05,17.05,,0
ablation,activity_only,2,1,9.55,42.55,,0
ablation,activity_only,3,4,12.1,144.1,2.0,1
ablation,tail_only,0,0,14.0,14.0,0.4499999999999993,1
ablation,tail_only,1,0,17.05,17.05,2.0,1
ablation,tail_only,2,1,9.55,42.55,2.0,1
ablation,tail_only,3,4,12.1,144.1,0.04999999999998295,1
ablation,growth_only,0,0,14.0,14.0,0.8499999999999996,1
ablation,growth_only,1,0,17.05,17.05,,0
ablation,growth_only,2,1,9.55,42.55,0.04999999999999716,1
ablation,growth_only,3,4,12.1,144.1,1.1500000000000057,1
ablation,W_no_tail,0,0,14.0,14.0,2.0,1
ablation,W_no_tail,1,0,17.05,17.05,,0
ablation,W_no_tail,2,1,9.55,42.55,,0
ablation,W_no_tail,3,4,12.1,144.1,2.0,1
ablation,W_no_growth,0,0,14.0,14.0,1.25,1
ablation,W_no_growth,1,0,17.05,17.05,2.0,1
ablation,W_no_growth,2,1,9.55,42.55,1.3499999999999943,1
ablation,W_no_growth,3,4,12.1,144.1,0.3499999999999943,1
ablation,W_no_robustness,0,0,14.0,14.0,1.75,1
ablation,W_no_robustness,1,0,17.05,17.05,2.0,1
ablation,W_no_robustness,2,1,9.55,42.55,1.0499999999999972,1
ablation,W_no_robustness,3,4,12.1,144.1,0.44999999999998863,1
