source_domain,fit_rule,dominant_sector,v_weight,lambda_H,lambda_B,lambda_S,lambda_V,lambda_R_rob
SAT-Frustration,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
SAT-Frustration,nnls,V,1.0,0.0,0.0,0.0,1.0,0.0
SAT-Frustration,ridge_pos,V,0.8394408736949722,0.0,0.0,0.0,0.8394408736949722,0.1605591263050278
SAT-Frustration,lasso_pos,V,1.0,0.0,0.0,0.0,1.0,0.0
SAT-Frustration,response_top20,V,0.8264498877807888,0.0,0.0,0.0,0.8264498877807888,0.17355011221921127
SAT-Frustration,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
Quantum-Pointer,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
Quantum-Pointer,nnls,H,0.21834073386365818,0.483894927840362,0.0,0.29776433829597987,0.21834073386365818,0.0
Quantum-Pointer,ridge_pos,S,0.0,0.0,0.0,0.7852172465231922,0.0,0.2147827534768077
Quantum-Pointer,lasso_pos,V,0.7830651052511175,0.21693489474888242,0.0,0.0,0.7830651052511175,0.0
Quantum-Pointer,response_top20,V,0.3822638163312314,0.2650517846063664,0.05252341565777086,0.15329679871671584,0.3822638163312314,0.14686418468791557
Quantum-Pointer,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
Active-Significance,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
Active-Significance,nnls,V,0.5944730134593926,0.4043577041291347,0.0,0.0011692824114726843,0.5944730134593926,0.0
Active-Significance,ridge_pos,V,0.5030692982587732,0.418353241231823,0.0,0.0,0.5030692982587732,0.07857746050940378
Active-Significance,lasso_pos,V,0.58685645255624,0.40605506370640465,0.0,0.0070884837373552815,0.58685645255624,0.0
Active-Significance,response_top20,H,0.23242018905959524,0.3503917011523299,0.21889886921889962,0.00032048013777709897,0.23242018905959524,0.19796876043139816
Active-Significance,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
Societal-CCI,equal,H,0.2,0.2,0.2,0.2,0.2,0.2
Societal-CCI,nnls,H,0.26247085076343496,0.2774323319059036,0.2474427258960764,0.21265409143458502,0.26247085076343496,0.0
Societal-CCI,ridge_pos,H,0.2632269085982356,0.27511606075092165,0.2515216220621406,0.21013540858870206,0.2632269085982356,0.0
Societal-CCI,lasso_pos,S,0.2331661712539914,0.23899965095279288,0.22464600794004574,0.30318816985316993,0.2331661712539914,0.0
Societal-CCI,response_top20,V,0.2472367271403314,0.2417629404951807,0.23672241804950295,0.1920863248150245,0.2472367271403314,0.08219158949996036
Societal-CCI,v_only,V,1.0,0.0,0.0,0.0,1.0,0.0
