family,instance,seed,algorithm,repeat,found,expansions,path_length
smooth,0,1000,random_frontier,0,0,850,
smooth,0,1000,random_frontier,1,1,437,85.0
smooth,0,1000,random_frontier,2,0,850,
smooth,0,1000,random_frontier,3,0,850,
smooth,0,1000,random_frontier,4,1,696,103.0
smooth,0,1000,random_frontier,5,0,850,
smooth,0,1000,random_frontier,6,1,717,83.0
smooth,0,1000,random_frontier,7,1,679,85.0
smooth,0,1000,distance_only,0,1,59,59.0
smooth,0,1000,energy_only,0,1,60,59.0
smooth,0,1000,connectivity_only,0,1,63,59.0
smooth,0,1000,maat_v16_anchored,0,1,93,59.0
smooth,0,1000,maat_v16_heavy,0,1,311,71.0
smooth,1,1097,random_frontier,0,1,482,159.0
smooth,1,1097,random_frontier,1,1,686,109.0
smooth,1,1097,random_frontier,2,0,850,
smooth,1,1097,random_frontier,3,0,850,
smooth,1,1097,random_frontier,4,1,810,87.0
smooth,1,1097,random_frontier,5,0,850,
smooth,1,1097,random_frontier,6,1,787,101.0
smooth,1,1097,random_frontier,7,1,627,83.0
smooth,1,1097,distance_only,0,1,59,59.0
smooth,1,1097,energy_only,0,1,60,59.0
smooth,1,1097,connectivity_only,0,1,62,59.0
smooth,1,1097,maat_v16_anchored,0,1,86,59.0
smooth,1,1097,maat_v16_heavy,0,1,275,65.0
smooth,2,1194,random_frontier,0,1,487,97.0
smooth,2,1194,random_frontier,1,1,733,81.0
smooth,2,1194,random_frontier,2,0,850,
smooth,2,1194,random_frontier,3,1,662,83.0
smooth,2,1194,random_frontier,4,1,474,87.0
smooth,2,1194,random_frontier,5,1,774,101.0
smooth,2,1194,random_frontier,6,1,786,83.0
smooth,2,1194,random_frontier,7,1,409,75.0
smooth,2,1194,distance_only,0,1,59,59.0
smooth,2,1194,energy_only,0,1,62,59.0
smooth,2,1194,connectivity_only,0,1,65,59.0
smooth,2,1194,maat_v16_anchored,0,1,92,61.0
smooth,2,1194,maat_v16_heavy,0,1,282,61.0
smooth,3,1291,random_frontier,0,1,635,101.0
smooth,3,1291,random_frontier,1,1,791,89.0
smooth,3,1291,random_frontier,2,1,524,79.0
smooth,3,1291,random_frontier,3,1,841,93.0
smooth,3,1291,random_frontier,4,0,850,
smooth,3,1291,random_frontier,5,1,776,79.0
smooth,3,1291,random_frontier,6,1,454,105.0
smooth,3,1291,random_frontier,7,0,850,
smooth,3,1291,distance_only,0,1,59,59.0
smooth,3,1291,energy_only,0,1,61,59.0
smooth,3,1291,connectivity_only,0,1,60,59.0
smooth,3,1291,maat_v16_anchored,0,1,98,59.0
smooth,3,1291,maat_v16_heavy,0,1,319,65.0
smooth,4,1388,random_frontier,0,0,850,
smooth,4,1388,random_frontier,1,1,577,61.0
smooth,4,1388,random_frontier,2,1,455,79.0
smooth,4,1388,random_frontier,3,1,785,93.0
smooth,4,1388,random_frontier,4,1,592,115.0
smooth,4,1388,random_frontier,5,0,850,
smooth,4,1388,random_frontier,6,1,529,75.0
smooth,4,1388,random_frontier,7,1,719,97.0
smooth,4,1388,distance_only,0,1,59,59.0
smooth,4,1388,energy_only,0,1,61,59.0
smooth,4,1388,connectivity_only,0,1,61,59.0
smooth,4,1388,maat_v16_anchored,0,1,90,59.0
smooth,4,1388,maat_v16_heavy,0,1,288,71.0
smooth,5,1485,random_frontier,0,0,850,
smooth,5,1485,random_frontier,1,1,667,77.0
smooth,5,1485,random_frontier,2,0,850,
smooth,5,1485,random_frontier,3,1,815,83.0
smooth,5,1485,random_frontier,4,0,850,
smooth,5,1485,random_frontier,5,1,831,79.0
smooth,5,1485,random_frontier,6,1,317,77.0
smooth,5,1485,random_frontier,7,0,850,
smooth,5,1485,distance_only,0,1,59,59.0
smooth,5,1485,energy_only,0,1,60,59.0
smooth,5,1485,connectivity_only,0,1,59,59.0
smooth,5,1485,maat_v16_anchored,0,1,94,61.0
smooth,5,1485,maat_v16_heavy,0,1,297,63.0
smooth,6,1582,random_frontier,0,1,453,81.0
smooth,6,1582,random_frontier,1,1,616,109.0
smooth,6,1582,random_frontier,2,0,850,
smooth,6,1582,random_frontier,3,1,647,73.0
smooth,6,1582,random_frontier,4,1,567,81.0
smooth,6,1582,random_frontier,5,1,461,65.0
smooth,6,1582,random_frontier,6,0,850,
smooth,6,1582,random_frontier,7,0,850,
smooth,6,1582,distance_only,0,1,59,59.0
smooth,6,1582,energy_only,0,1,63,61.0
smooth,6,1582,connectivity_only,0,1,60,59.0
smooth,6,1582,maat_v16_anchored,0,1,105,59.0
smooth,6,1582,maat_v16_heavy,0,1,312,63.0
smooth,7,1679,random_frontier,0,1,362,89.0
smooth,7,1679,random_frontier,1,1,392,103.0
smooth,7,1679,random_frontier,2,1,727,109.0
smooth,7,1679,random_frontier,3,1,791,87.0
smooth,7,1679,random_frontier,4,1,522,119.0
smooth,7,1679,random_frontier,5,1,308,103.0
smooth,7,1679,random_frontier,6,0,850,
smooth,7,1679,random_frontier,7,1,285,89.0
smooth,7,1679,distance_only,0,1,59,59.0
smooth,7,1679,energy_only,0,1,59,59.0
smooth,7,1679,connectivity_only,0,1,60,59.0
smooth,7,1679,maat_v16_anchored,0,1,86,61.0
smooth,7,1679,maat_v16_heavy,0,1,277,61.0
