family,algorithm,success_rate,median_expansions,mean_expansions,n_runs
bridge,connectivity_only,1.0,59.0,59.57142857142857,14
bridge,distance_only,1.0,63.0,61.285714285714285,14
bridge,energy_only,1.0,65.5,65.21428571428571,14
bridge,maat_v16_anchored,1.0,103.5,101.14285714285714,14
bridge,maat_v16_heavy,1.0,220.0,217.07142857142858,14
bridge,random_frontier,0.7589285714285714,714.0,674.7410714285714,112
smooth,distance_only,1.0,59.0,59.0,14
smooth,energy_only,1.0,60.0,60.357142857142854,14
smooth,connectivity_only,1.0,61.0,61.0,14
smooth,maat_v16_anchored,1.0,93.0,90.64285714285714,14
smooth,maat_v16_heavy,1.0,292.5,274.85714285714283,14
smooth,random_frontier,0.7232142857142857,703.0,678.75,112
trap,distance_only,1.0,59.0,59.0,14
trap,connectivity_only,1.0,60.5,60.642857142857146,14
trap,maat_v16_anchored,1.0,84.5,81.78571428571429,14
trap,energy_only,1.0,150.5,150.35714285714286,14
trap,maat_v16_heavy,1.0,272.0,226.42857142857142,14
trap,random_frontier,0.7589285714285714,675.0,659.6785714285714,112
trap_bridge,connectivity_only,1.0,59.0,59.357142857142854,14
trap_bridge,distance_only,1.0,63.0,61.285714285714285,14
trap_bridge,maat_v16_anchored,1.0,92.0,94.5,14
trap_bridge,energy_only,1.0,183.5,185.64285714285714,14
trap_bridge,maat_v16_heavy,1.0,197.0,209.21428571428572,14
trap_bridge,random_frontier,0.7232142857142857,724.0,678.3482142857143,112
