feature,importance_mean,importance_std
R_rob_stat,0.2775288263922524,0.00553666566681121
purity_decay0,0.16108447629054318,0.00668296358261678
T,0.13829947967058726,0.007092101220486083
concurrence_slope0,0.04571967801296364,0.0014409462964837662
V_corr,0.034998399174116936,0.002201359696847909
B_corr_stat,0.027545622658473472,0.001359911693612678
corr_drift0,0.025672531246468233,0.0012263625604048399
J,0.01621703925447456,0.002233641676186261
symmetry_expectation,0.014420257341436501,0.002015478845080869
gamma_dep,0.013948647100249364,0.0010291995393696283
hamiltonian_coupling_pressure,0.010651560226932996,0.0013995864043951356
bell_phi_overlap,0.010378689512253902,0.00096637312422928
F_scalar_stat,0.008440202982892442,0.00037566125006593937
gamma_heat,0.006879126987511845,0.0006853478496882362
lindblad_norm0,0.0055163053232216526,0.00032711256311118936
bell_psi_overlap,0.004939292633641641,0.0005254214080251239
collective_pressure,0.004772605380202429,0.0003789656236072083
dfs_collective_overlap,0.004588400396375832,0.0005280680893940622
depolarizing_pressure,0.0032540074658572817,0.0003112961167257079
local_dephasing_pressure,0.0031204328935322176,0.00015662371547427517
H_stationarity,0.0028886018128901347,0.00017454295455162223
damping_pressure,0.0024260297232485684,0.00013988758179804043
gamma_lz,0.0024119617554991257,0.00017285586964578935
gamma_amp,0.002049100161267877,8.937287878879722e-05
pair_dephasing_pressure,0.0013545413403318236,0.0001857574164228989
coherence_norm0,0.0009812205276842716,3.691765223167453e-05
stationarity_gain,0.0009071529260178587,4.972355176018824e-05
local_drift0,0.000842724485448032,9.514043377234008e-05
hx2,0.0007926859327281136,6.403373654367757e-05
dfs_parity_overlap,0.000784956335886211,5.027087067216222e-05
B_pop_pair,0.0007245381632602169,8.992205337893418e-05
R_rob_pop,0.0007125835581618759,3.891557946888647e-05
F_scalar_pop,0.00070694997921944,2.2391357359248963e-05
hz2,0.0007009634793145869,9.974127584924143e-05
gamma_zz,0.0006479707401437773,9.222242258052056e-05
gamma_cz,0.0006389589490770805,5.9336306633815076e-05
hz1,0.0005738929348319358,5.797925442934641e-05
hx1,0.000471675120126062,3.2504887206118385e-05
S_ent,0.00031582019367696706,2.919685836072465e-05
mutual_info_initial,0.00019734011234584514,4.28298514312183e-05
initial_concurrence,0.00017499962225597798,3.881812684510428e-05
