set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,10.0,0.002,-0.05,0.414714738591026,0.41410450717748115,0.0032545673591502533,0.8214002277480669,0.6666666666666666,0.9907981280086032
jittered_zero,BR,10.0,0.002,-0.02,0.19090363886911677,0.1903859834631736,0.0029584372690507304,0.8497522067529146,0.8333333333333333,0.9914588662198607
jittered_zero,BR,10.0,0.002,-0.01,0.10368160274124508,0.1031440352458119,0.0028655071407481347,0.8562582644403356,0.909090909090909,0.9916674867135266
jittered_zero,BR,10.0,0.002,-0.005,0.0570583939159228,0.05650596039577338,0.0028200756802588007,0.8585300784244148,0.9523809523809523,0.9917697005645572
jittered_zero,BR,10.0,0.002,-0.002,0.02800961399043083,0.02744848616252465,0.002793141384162648,0.8594465753298236,0.980392156862745,0.9918303683990637
jittered_zero,BR,10.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,BR,10.0,0.002,0.002,0.02792873332448615,0.027356271710776422,0.002757602950091956,0.8600072776802227,0.980392156862745,0.9919104962497242
jittered_zero,BR,10.0,0.002,0.005,0.05685618713161271,0.05627541653925851,0.002731226683360678,0.8599369485364905,0.9523809523809523,0.9919700251217186
jittered_zero,BR,10.0,0.002,0.01,0.10327715260395431,0.10268289233666,0.0026877883483139883,0.8591036540259818,0.909090909090909,0.9920681710467723
jittered_zero,BR,10.0,0.002,0.02,0.1900944460082334,0.189474518890746,0.0026028332754449582,0.855638454617325,0.8333333333333333,0.9922605166688003
jittered_zero,BR,10.0,0.002,0.05,0.4126866320425412,0.41207014379565277,0.002362643017684373,0.8381556567268396,0.6666666666666665,0.992807188801106
jittered_zero,HBR,10.0,0.002,-0.05,0.6167809649002138,0.5882522178763869,0.10729261722527385,0.8214002277480669,0.6666666666666666,0.9907981280086032
jittered_zero,HBR,10.0,0.002,-0.02,0.35969610800254437,0.332892621272935,0.11315596007118257,0.8497522067529146,0.8333333333333333,0.9914588662198607
jittered_zero,HBR,10.0,0.002,-0.01,0.26506668735730177,0.23980687121115563,0.11501775797971786,0.8562582644403356,0.909090909090909,0.9916674867135266
jittered_zero,HBR,10.0,0.002,-0.005,0.21585579286610512,0.1917839115416486,0.11550696954755903,0.8585300784244148,0.9523809523809523,0.9917697005645572
jittered_zero,HBR,10.0,0.002,-0.002,0.1857432438772193,0.16216586490786186,0.1155003457145506,0.8594465753298236,0.980392156862745,0.9918303683990637
jittered_zero,HBR,10.0,0.002,0.0,0.16543965664034055,0.14205609008126757,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,HBR,10.0,0.002,0.002,0.18495363913792376,0.16164174358592784,0.11495972117845872,0.8600072776802227,0.980392156862745,0.9919104962497242
jittered_zero,HBR,10.0,0.002,0.005,0.21387589656594405,0.19047143916938686,0.1141595327561194,0.8599369485364905,0.9523809523809523,0.9919700251217186
jittered_zero,HBR,10.0,0.002,0.01,0.2610697723986647,0.23716654388883746,0.11234645491164778,0.8591036540259818,0.909090909090909,0.9920681710467723
jittered_zero,HBR,10.0,0.002,0.02,0.35146372231454553,0.32607905314688745,0.10793603402133019,0.855638454617325,0.8333333333333333,0.9922605166688003
jittered_zero,HBR,10.0,0.002,0.05,0.5934538924631306,0.569121619599311,0.09501335942345306,0.8381556567268396,0.6666666666666665,0.992807188801106
jittered_zero,HR,10.0,0.002,-0.05,0.21131585679354936,0.1827871097697224,0.10729261722527388,0.8214002277480669,0.6666666666666666,0.9907981280086032
jittered_zero,HR,10.0,0.002,-0.02,0.1773745512097896,0.1505710644801803,0.11315596007118259,0.8497522067529146,0.8333333333333333,0.9914588662198607
jittered_zero,HR,10.0,0.002,-0.01,0.16975650755407684,0.14449669140793073,0.11501775797971786,0.8562582644403356,0.909090909090909,0.9916674867135266
jittered_zero,HR,10.0,0.002,-0.005,0.167065628697723,0.1429937473732665,0.11550696954755903,0.8585300784244148,0.9523809523809523,0.9917697005645572
jittered_zero,HR,10.0,0.002,-0.002,0.16594061658205952,0.1423632376127021,0.11550034571455058,0.8594465753298236,0.980392156862745,0.9918303683990637
jittered_zero,HR,10.0,0.002,0.0,0.16543965664134064,0.14205609008226766,0.11531240544121442,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,HR,10.0,0.002,0.002,0.16515101184276398,0.14183911629076806,0.11495972117845871,0.8600072776802227,0.980392156862745,0.9919104962497242
jittered_zero,HR,10.0,0.002,0.005,0.16508573239756197,0.1416812750010048,0.11415953275611938,0.8599369485364905,0.9523809523809523,0.9919700251217186
jittered_zero,HR,10.0,0.002,0.01,0.16575959259543974,0.14185636408561253,0.11234645491164776,0.8591036540259818,0.909090909090909,0.9920681710467723
jittered_zero,HR,10.0,0.002,0.02,0.1691421655217908,0.1437574963541327,0.10793603402133017,0.855638454617325,0.8333333333333333,0.9922605166688003
jittered_zero,HR,10.0,0.002,0.05,0.18798878435646602,0.16365651149264637,0.09501335942345306,0.8381556567268396,0.6666666666666665,0.992807188801106
known_zero,BR,10.0,0.002,-0.05,0.4147275470148899,0.4137782762964145,0.0032751419876430508,0.9024210172020192,0.6666666666666666,0.9907855026366278
known_zero,BR,10.0,0.002,-0.02,0.19091663743761467,0.19006848526341502,0.0029740440579073928,0.9597595791545208,0.8333333333333333,0.9914460236761531
known_zero,BR,10.0,0.002,-0.01,0.10369469323270156,0.10287478868101614,0.0028794065952209478,0.9796707204251268,0.909090909090909,0.9916545441401876
known_zero,BR,10.0,0.002,-0.005,0.057071535313882,0.05626541359358894,0.002833111931955526,0.9897823372072599,0.9523809523809523,0.9917567031876688
known_zero,BR,10.0,0.002,-0.002,0.028022787459050902,0.027224827914742532,0.0028056566858951186,0.9959001102435833,0.980392156862745,0.9918173366617488
known_zero,BR,10.0,0.002,0.0,0.008179631359930297,0.007387068831117874,0.002787485768950009,0.9999999999999927,1.0,0.9918574855482681
known_zero,BR,10.0,0.002,0.002,0.027941951290621058,0.027154750433427376,0.0027694201406328715,0.9959203186489791,0.980392156862745,0.9918974170172419
