set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
known_zero,1,14.134725141734695,-0.05,0.45,HBR,10.0,0.002,0.448438853031925,0.9611015085657382,0.6666666666666666,0.9967069366688567
known_zero,1,14.134725141734695,-0.02,0.48,HBR,10.0,0.002,0.20140684174447607,0.9842592352932567,0.8333333333333333,0.9967858576223427
known_zero,1,14.134725141734695,-0.01,0.49,HBR,10.0,0.002,0.10643583592770306,0.992099083813463,0.9090909090909091,0.99681173104062
known_zero,1,14.134725141734695,-0.005,0.495,HBR,10.0,0.002,0.055936603550594426,0.996041879541167,0.9523809523809523,0.9968245874858258
known_zero,1,14.134725141734695,-0.002,0.498,HBR,10.0,0.002,0.024561727802511774,0.9984149091363574,0.9803921568627451,0.996832275798938
known_zero,1,14.134725141734695,0.0,0.5,HBR,10.0,0.002,0.003167620891456515,0.9999999999999993,1.0,0.9968373907235745
known_zero,1,14.134725141734695,0.002,0.502,HBR,10.0,0.002,0.02454890649311168,0.9984174725783888,0.9803921568627451,0.9968424971710539
known_zero,1,14.134725141734695,0.005,0.505,HBR,10.0,0.002,0.05589496006987267,0.9960578252183172,0.9523809523809523,0.9968501409790239
known_zero,1,14.134725141734695,0.01,0.51,HBR,10.0,0.002,0.10632078236424371,0.9921623658563791,0.9090909090909091,0.996862838476364
known_zero,1,14.134725141734695,0.02,0.52,HBR,10.0,0.002,0.201051150819072,0.9845084302013415,0.8333333333333333,0.9968880760886593
known_zero,1,14.134725141734695,0.05,0.55,HBR,10.0,0.002,0.4466362952417274,0.9625886526041028,0.6666666666666665,0.996962545749788
jittered_zero,1,14.151482552448488,-0.05,0.45,HBR,10.0,0.002,0.4506295563432585,0.9590071292426331,0.6666666666666666,0.9966977861904448
jittered_zero,1,14.151482552448488,-0.02,0.48,HBR,10.0,0.002,0.20622742317957776,0.9795346654954282,0.8333333333333333,0.9967769899078464
jittered_zero,1,14.151482552448488,-0.01,0.49,HBR,10.0,0.002,0.11395480037225107,0.9846761685523614,0.9090909090909091,0.9968029556492776
jittered_zero,1,14.151482552448488,-0.005,0.495,HBR,10.0,0.002,0.06580099688039581,0.9862734694549945,0.9523809523809523,0.9968158578994095
jittered_zero,1,14.151482552448488,-0.002,0.498,HBR,10.0,0.002,0.03630978783020269,0.9867627152151642,0.9803921568627451,0.9968235735820455
jittered_zero,1,14.151482552448488,0.0,0.5,HBR,10.0,0.002,0.016398055387830252,0.986865300134933,1.0,0.9968287067059279
jittered_zero,1,14.151482552448488,0.002,0.502,HBR,10.0,0.002,0.03627802435719619,0.9867839043032159,0.9803921568627451,0.9968338313150604
jittered_zero,1,14.151482552448488,0.005,0.505,HBR,10.0,0.002,0.06571967079304343,0.9863283078891892,0.9523809523809523,0.9968415022951904
jittered_zero,1,14.151482552448488,0.01,0.51,HBR,10.0,0.002,0.11377945499230985,0.9847981705553941,0.9090909090909091,0.996854244892581
jittered_zero,1,14.151482552448488,0.02,0.52,HBR,10.0,0.002,0.20579489447324004,0.9798575931352255,0.8333333333333333,0.9968795720084369
jittered_zero,1,14.151482552448488,0.05,0.55,HBR,10.0,0.002,0.4487404319980815,0.9605733040815293,0.6666666666666665,0.9969543046923055
known_zero,2,21.022039638771556,-0.05,0.45,HBR,10.0,0.002,0.4672257933124346,0.9446491667826473,0.6666666666666666,0.9951925801058175
known_zero,2,21.022039638771556,-0.02,0.48,HBR,10.0,0.002,0.20972212220098407,0.9775040758940319,0.8333333333333333,0.9953630360755067
known_zero,2,21.022039638771556,-0.01,0.49,HBR,10.0,0.002,0.11127464436114284,0.9886920147975717,0.9090909090909091,0.9954184693962098
known_zero,2,21.022039638771556,-0.005,0.495,HBR,10.0,0.002,0.05903983477518545,0.9943309299219829,0.9523809523809523,0.9954459310011573
known_zero,2,21.022039638771556,-0.002,0.498,HBR,10.0,0.002,0.02662446589113649,0.9977287441659157,0.9803921568627451,0.995462326938867
known_zero,2,21.022039638771556,0.0,0.5,HBR,10.0,0.002,0.004537052933734842,0.9999999999999989,1.0,0.9954732239398181
known_zero,2,21.022039638771556,0.002,0.502,HBR,10.0,0.002,0.02659712079586633,0.997734210669961,0.9803921568627451,0.9954840941174949
known_zero,2,21.022039638771556,0.005,0.505,HBR,10.0,0.002,0.05895104178412486,0.9943648643266608,0.9523809523809523,0.9955003492325938
known_zero,2,21.022039638771556,0.01,0.51,HBR,10.0,0.002,0.11102956766324201,0.9888262321598006,0.9090909090909091,0.9955273078938603
known_zero,2,21.022039638771556,0.02,0.52,HBR,10.0,0.002,0.2089664815849653,0.9780290946078216,0.8333333333333333,0.9955807293494429
known_zero,2,21.022039638771556,0.05,0.55,HBR,10.0,0.002,0.4634303351978166,0.9477228107223034,0.6666666666666665,0.995737098213088
jittered_zero,2,20.996435692539457,-0.05,0.45,HBR,10.0,0.002,0.4741286609372099,0.9381622031600517,0.6666666666666666,0.9951805187651019
jittered_zero,2,20.996435692539457,-0.02,0.48,HBR,10.0,0.002,0.2237312707147018,0.96391727650466,0.8333333333333333,0.9953509274341423
jittered_zero,2,20.996435692539457,-0.01,0.49,HBR,10.0,0.002,0.13090835120696392,0.9694814516285136,0.9090909090909091,0.9954063482122284
jittered_zero,2,20.996435692539457,-0.005,0.495,HBR,10.0,0.002,0.08271776284232607,0.9710756096628144,0.9523809523809523,0.9954338041332041
jittered_zero,2,20.996435692539457,-0.002,0.498,HBR,10.0,0.002,0.053212357734344,0.9715626295074796,0.9803921568627451,0.9954501968463159
jittered_zero,2,20.996435692539457,0.0,0.5,HBR,10.0,0.002,0.03327822720533122,0.9716797667678875,1.0,0.9954610917744485
jittered_zero,2,20.996435692539457,0.002,0.502,HBR,10.0,0.002,0.05312196315554152,0.9716292151651861,0.9803921568627451,0.9954719599405613
jittered_zero,2,20.996435692539457,0.005,0.505,HBR,10.0,0.002,0.08248914755660407,0.9712445518762685,0.9523809523809523,0.9954882121526487
jittered_zero,2,20.996435692539457,0.01,0.51,HBR,10.0,0.002,0.13043301181702185,0.9698363711435223,0.9090909090909091,0.9955151662784941
jittered_zero,2,20.996435692539457,0.02,0.52,HBR,10.0,0.002,0.22265208377266643,0.964747124704856,0.8333333333333333,0.9955685797860927
jittered_zero,2,20.996435692539457,0.05,0.55,HBR,10.0,0.002,0.46995545880625716,0.9415704370752448,0.6666666666666665,0.9957249335308574
known_zero,3,25.01085758014569,-0.05,0.45,HBR,10.0,0.002,0.4799298297032964,0.9336977547960507,0.6666666666666666,0.994154923843751
known_zero,3,25.01085758014569,-0.02,0.48,HBR,10.0,0.002,0.21538339585879185,0.972935912267784,0.8333333333333333,0.9943910154380573
known_zero,3,25.01085758014569,-0.01,0.49,HBR,10.0,0.002,0.11457585503166896,0.9863757877100621,0.9090909090909091,0.9944675589526293
known_zero,3,25.01085758014569,-0.005,0.495,HBR,10.0,0.002,0.06115865148319025,0.9931646959802954,0.9523809523809523,0.994505435038754
known_zero,3,25.01085758014569,-0.002,0.498,HBR,10.0,0.002,0.02803308725948268,0.99726029084361,0.9803921568627451,0.9945280351016973
known_zero,3,25.01085758014569,0.0,0.5,HBR,10.0,0.002,0.005471893821462421,0.9999999999999991,1.0,0.9945430497176299
known_zero,3,25.01085758014569,0.002,0.502,HBR,10.0,0.002,0.027995376363790382,0.9972678288300868,0.9803921568627451,0.9945580227910095
known_zero,3,25.01085758014569,0.005,0.505,HBR,10.0,0.002,0.06103622166719123,0.9932114242265121,0.9523809523809523,0.9945804047547341
known_zero,3,25.01085758014569,0.01,0.51,HBR,10.0,0.002,0.11423816542818546,0.9865601821055644,0.9090909090909091,0.9946175019038989
known_zero,3,25.01085758014569,0.02,0.52,HBR,10.0,0.002,0.21434408918065473,0.9736539570616771,0.8333333333333333,0.9946909294959566
known_zero,3,25.01085758014569,0.05,0.55,HBR,10.0,0.002,0.4747407863763027,0.9378475617179498,0.6666666666666665,0.9949052018063149
jittered_zero,3,24.902128954938,-0.05,0.45,HBR,10.0,0.002,0.5659507152159969,0.8566011123153524,0.6666666666666666,0.9943135376484016
jittered_zero,3,24.902128954938,-0.02,0.48,HBR,10.0,0.002,0.32881975281877585,0.8684644529263259,0.8333333333333333,0.9945453582615695
jittered_zero,3,24.902128954938,-0.01,0.49,HBR,10.0,0.002,0.2392107227760983,0.8706575646257254,0.9090909090909091,0.9946205099975687
jittered_zero,3,24.902128954938,-0.005,0.495,HBR,10.0,0.002,0.19180158569296937,0.8713994500208556,0.9523809523809523,0.9946576960503063
jittered_zero,3,24.902128954938,-0.002,0.498,HBR,10.0,0.002,0.16241230254884204,0.8717301560838657,0.9803921568627451,0.9946798839517534
jittered_zero,3,24.902128954938,0.0,0.5,HBR,10.0,0.002,0.14239662211578266,0.871902979588369,1.0,0.9946946245642161
jittered_zero,3,24.902128954938,0.002,0.502,HBR,10.0,0.002,0.16202987151505827,0.8720377861379158,0.9803921568627451,0.994709324248846
jittered_zero,3,24.902128954938,0.005,0.505,HBR,10.0,0.002,0.1908448228688983,0.8721690340932947,0.9523809523809523,0.9947312972783688
jittered_zero,3,24.902128954938,0.01,0.51,HBR,10.0,0.002,0.23729231489070907,0.872200356640641,0.9090909090909091,0.9947677159203726
jittered_zero,3,24.902128954938,0.02,0.52,HBR,10.0,0.002,0.32494425802819893,0.8715786780094457,0.8333333333333333,0.994839797841478
jittered_zero,3,24.902128954938,0.05,0.55,HBR,10.0,0.002,0.5556235193025015,0.8648525560429545,0.6666666666666665,0.9950501220458011
known_zero,4,30.424876125859512,-0.05,0.45,HBR,10.0,0.002,0.4767352621559756,0.9364674648638552,0.6666666666666666,0.994386161666154
known_zero,4,30.424876125859512,-0.02,0.48,HBR,10.0,0.002,0.2138403122129871,0.9741889664571849,0.8333333333333333,0.9946456140983146
known_zero,4,30.424876125859512,-0.01,0.49,HBR,10.0,0.002,0.11365217143051165,0.9870276580623059,0.9090909090909091,0.9947291658102755
known_zero,4,30.424876125859512,-0.005,0.495,HBR,10.0,0.002,0.060557640134482574,0.993497077254125,0.9523809523809523,0.9947704050878861
known_zero,4,30.424876125859512,-0.002,0.498,HBR,10.0,0.002,0.027629836748693976,0.9973948046693598,0.9803921568627451,0.9947949786151669
known_zero,4,30.424876125859512,0.0,0.5,HBR,10.0,0.002,0.005202217597116089,0.9999999999999989,1.0,0.9948112904996831
known_zero,4,30.424876125859512,0.002,0.502,HBR,10.0,0.002,0.027588893640210256,0.9974029889592034,0.9803921568627451,0.994827546223938
known_zero,4,30.424876125859512,0.005,0.505,HBR,10.0,0.002,0.06042470948585403,0.9935478324877147,0.9523809523809523,0.9948518249083396
known_zero,4,30.424876125859512,0.01,0.51,HBR,10.0,0.002,0.11328544355806805,0.987228077640945,0.9090909090909091,0.994892011155
known_zero,4,30.424876125859512,0.02,0.52,HBR,10.0,0.002,0.21271100937775633,0.9749704493510974,0.8333333333333333,0.9949713504202379
known_zero,4,30.424876125859512,0.05,0.55,HBR,10.0,0.002,0.47108608736175134,0.9410013264396799,0.6666666666666665,0.9952013012560579
jittered_zero,4,30.399674919671074,-0.05,0.45,HBR,10.0,0.002,0.48477955226228553,0.9290215285503006,0.6666666666666666,0.9943250858872219
jittered_zero,4,30.399674919671074,-0.02,0.48,HBR,10.0,0.002,0.22971935158554094,0.9588996920719517,0.8333333333333333,0.9945857214812309
jittered_zero,4,30.399674919671074,-0.01,0.49,HBR,10.0,0.002,0.13586306983030796,0.9654043004402622,0.9090909090909091,0.9946696680727003
jittered_zero,4,30.399674919671074,-0.005,0.495,HBR,10.0,0.002,0.08735790627639013,0.9672823784039413,0.9523809523809523,0.9947111048680419
jittered_zero,4,30.399674919671074,-0.002,0.498,HBR,10.0,0.002,0.057744600407528594,0.9678638375314097,0.9803921568627451,0.9947357969291326
jittered_zero,4,30.399674919671074,0.0,0.5,HBR,10.0,0.002,0.037774277643301116,0.9680102069792821,1.0,0.994752187845436
jittered_zero,4,30.399674919671074,0.002,0.502,HBR,10.0,0.002,0.057610530591623646,0.9679617627126996,0.9803921568627451,0.9947685226086483
jittered_zero,4,30.399674919671074,0.005,0.505,HBR,10.0,0.002,0.08701874218397398,0.9675309220683522,0.9523809523809523,0.9947929198645089
