set,config,alpha,dsigma,delta,mean_F,median_F,std_F,mean_H,mean_B,mean_R
jittered_zero,BR,0.0,0.001,-0.05,0.004636785621163255,0.004329017345531019,0.0016357387833133463,0.8214002277480669,1.0,0.9953752455105596
jittered_zero,BR,0.0,0.001,-0.02,0.004301300504701993,0.004040331117324199,0.0014863377867952218,0.8497522067529146,1.0,0.995709008821016
jittered_zero,BR,0.0,0.001,-0.01,0.004195458945590572,0.003924580925593635,0.0014394750339253282,0.8562582644403356,1.0,0.9958143352647377
jittered_zero,BR,0.0,0.001,-0.005,0.004143616426830205,0.0038653220478994665,0.0014165686695446673,0.8585300784244148,1.0,0.9958659303813351
jittered_zero,BR,0.0,0.001,-0.002,0.0041128504660961065,0.0038302192046124938,0.0014029896821127462,0.8594465753298236,1.0,0.9958965510459452
jittered_zero,BR,0.0,0.001,0.0,0.0040924800497214656,0.0038070039514483496,0.0013940049811366308,0.8598261347082454,1.0,0.995916825885169
jittered_zero,BR,0.0,0.001,0.002,0.004072221115078512,0.0037839369620357,0.001385074245506726,0.8600072776802227,1.0,0.9959369902592291
jittered_zero,BR,0.0,0.001,0.005,0.004042040441788708,0.003749612518288316,0.0013717785823762353,0.8599369485364905,1.0,0.9959670309737076
jittered_zero,BR,0.0,0.001,0.01,0.003992288349886132,0.0036931338425402944,0.0013498841759940425,0.8591036540259818,1.0,0.996016554729805
jittered_zero,BR,0.0,0.001,0.02,0.0038948102883464277,0.003582860181648148,0.0013070705910484064,0.855638454617325,1.0,0.996113594012157
jittered_zero,BR,0.0,0.001,0.05,0.0036179499066607166,0.0033079611503587323,0.0011860736465125925,0.8381556567268396,1.0,0.9963892701195458
jittered_zero,BR,0.0,0.002,-0.05,0.009249630483361393,0.008639399069816624,0.003254567359150246,0.8214002277480669,1.0,0.9907981280086032
jittered_zero,BR,0.0,0.002,-0.02,0.008582082075361925,0.00806442666941877,0.0029584372690507265,0.8497522067529146,1.0,0.9914588662198607
jittered_zero,BR,0.0,0.002,-0.01,0.00837142293702007,0.00783385544158689,0.0028655071407481395,0.8562582644403356,1.0,0.9916674867135266
jittered_zero,BR,0.0,0.002,-0.005,0.008268229746540632,0.007715796226391211,0.002820075680258802,0.8585300784244148,1.0,0.9917697005645572
jittered_zero,BR,0.0,0.002,-0.002,0.008206986694270967,0.007645858866364785,0.002793141384162648,0.8594465753298236,1.0,0.9918303683990637
jittered_zero,BR,0.0,0.002,0.0,0.008166435887954146,0.007599604470346463,0.0027753190226083983,0.8598261347082454,1.0,0.9918705407956064
jittered_zero,BR,0.0,0.002,0.002,0.00812610602832628,0.007553644414616553,0.0027576029500919553,0.8600072776802227,1.0,0.9919104962497242
jittered_zero,BR,0.0,0.002,0.005,0.008066022962230546,0.0074852523698763305,0.0027312266833606725,0.8599369485364905,1.0,0.9919700251217186
jittered_zero,BR,0.0,0.002,0.01,0.007966972799729324,0.007372712532435001,0.0026877883483139953,0.8591036540259818,1.0,0.9920681710467723
jittered_zero,BR,0.0,0.002,0.02,0.007772889214478535,0.007152962096991199,0.0026028332754449448,0.855638454617325,1.0,0.9922605166688003
jittered_zero,BR,0.0,0.002,0.05,0.00722152393487648,0.006605035687988053,0.0023626430176843793,0.8381556567268396,1.0,0.992807188801106
jittered_zero,BR,0.0,0.005,-0.05,0.02294751152619604,0.02146057291273831,0.008012572147045026,0.8214002277480669,1.0,0.977344311869817
jittered_zero,BR,0.0,0.005,-0.02,0.021303715046446688,0.020040826964684122,0.007291642077367386,0.8497522067529146,1.0,0.9789469363534744
jittered_zero,BR,0.0,0.005,-0.01,0.020784579205929847,0.019471382117368617,0.007065100148825941,0.8562582644403356,1.0,0.979453725616894
jittered_zero,BR,0.0,0.005,-0.005,0.0205302058995869,0.019179614835125296,0.006954295467818426,0.8585300784244148,1.0,0.9797021640822742
jittered_zero,BR,0.0,0.005,-0.002,0.020379218723576474,0.019006750095634906,0.0068885876469196965,0.8594465753298236,1.0,0.9798496642753884
