set,source_n,t,delta,sigma,config,alpha,dsigma,F_MAAT,H,B,R
known_zero,1,14.134725141734695,-0.05,0.45,HBR,0.0,0.001,0.04132585569934319,0.9611015085657382,1.0,0.9983507533320914
known_zero,1,14.134725141734695,-0.02,0.48,HBR,0.0,0.001,0.01747692051484908,0.9842592352932567,1.0,0.9983903424982523
known_zero,1,14.134725141734695,-0.01,0.49,HBR,0.0,0.001,0.009530249140843888,0.992099083813463,1.0,0.9984033207157436
known_zero,1,14.134725141734695,-0.005,0.495,HBR,0.0,0.001,0.005557470866438264,0.996041879541167,1.0,0.9984097694386765
known_zero,1,14.134725141734695,-0.002,0.498,HBR,0.0,0.001,0.00317398225511705,0.9984149091363574,1.0,0.9984136258150061
known_zero,1,14.134725141734695,0.0,0.5,HBR,0.0,0.001,0.0015850641572161938,0.9999999999999993,1.0,0.998416191390515
known_zero,1,14.134725141734695,0.002,0.502,HBR,0.0,0.001,0.0031662797278624883,0.9984174725783888,1.0,0.9984187527008881
known_zero,1,14.134725141734695,0.005,0.505,HBR,0.0,0.001,0.005528624372727335,0.9960578252183172,1.0,0.9984225866852211
known_zero,1,14.134725141734695,0.01,0.51,HBR,0.0,0.001,0.009440789777455907,0.9921623658563791,1.0,0.9984289554362622
known_zero,1,14.134725141734695,0.02,0.52,HBR,0.0,0.001,0.01717241979800746,0.9845084302013415,1.0,0.9984416137587518
known_zero,1,14.134725141734695,0.05,0.55,HBR,0.0,0.001,0.03965130508078393,0.9625886526041028,1.0,0.9984789633268805
jittered_zero,1,14.151482552448488,-0.05,0.45,HBR,0.0,0.001,0.04351197621272483,0.9590071292426331,1.0,0.998346162970541
jittered_zero,1,14.151482552448488,-0.02,0.48,HBR,0.0,0.001,0.022293060943380218,0.9795346654954282,1.0,0.9983858943382349
jittered_zero,1,14.151482552448488,-0.01,0.49,HBR,0.0,0.001,0.01704481887187671,0.9846761685523614,1.0,0.9983989189804879
jittered_zero,1,14.151482552448488,-0.005,0.495,HBR,0.0,0.001,0.015417492450015663,0.9862734694549945,1.0,0.9984053907356523
jittered_zero,1,14.151482552448488,-0.002,0.498,HBR,0.0,0.001,0.014917684259954933,0.9867627152151642,1.0,0.998409260874027
jittered_zero,1,14.151482552448488,0.0,0.5,HBR,0.0,0.001,0.014811149755979514,0.986865300134933,1.0,0.9984118356004422
jittered_zero,1,14.151482552448488,0.002,0.502,HBR,0.0,0.001,0.014891057800688032,0.9867839043032159,1.0,0.9984144060427346
jittered_zero,1,14.151482552448488,0.005,0.505,HBR,0.0,0.001,0.015349008928828844,0.9863283078891892,1.0,0.9984182536894313
jittered_zero,1,14.151482552448488,0.01,0.51,HBR,0.0,0.001,0.016895158851523845,0.9847981705553941,1.0,0.998424645116695
jittered_zero,1,14.151482552448488,0.02,0.52,HBR,0.0,0.001,0.021911904774305,0.9798575931352255,1.0,0.9984373484398662
jittered_zero,1,14.151482552448488,0.05,0.55,HBR,0.0,0.001,0.04175131503010749,0.9605733040815293,1.0,0.9984748302388862
known_zero,2,21.022039638771556,-0.05,0.45,HBR,0.0,0.001,0.05935407990980578,0.9446491667826473,1.0,0.997590500104749
known_zero,2,21.022039638771556,-0.02,0.48,HBR,0.0,0.001,0.02507938987113337,0.9775040758940319,1.0,0.9976761319165689
known_zero,2,21.022039638771556,-0.01,0.49,HBR,0.0,0.001,0.0136710697267546,0.9886920147975717,1.0,0.9977039767514015
known_zero,2,21.022039638771556,-0.005,0.495,HBR,0.0,0.001,0.00797003802035954,0.9943309299219829,1.0,0.9977177704783241
known_zero,2,21.022039638771556,-0.002,0.498,HBR,0.0,0.001,0.0045504226606689745,0.9977287441659157,1.0,0.9977260058351833
known_zero,2,21.022039638771556,0.0,0.5,HBR,0.0,0.001,0.00227109787909806,0.9999999999999989,1.0,0.9977314791094598
known_zero,2,21.022039638771556,0.002,0.502,HBR,0.0,0.001,0.00453398585292117,0.997734210669961,1.0,0.9977369388515606
known_zero,2,21.022039638771556,0.005,0.505,HBR,0.0,0.001,0.007908515891825235,0.9943648643266608,1.0,0.9977451031642804
known_zero,2,21.022039638771556,0.01,0.51,HBR,0.0,0.001,0.013480535780487201,0.9888262321598006,1.0,0.9977586431591327
known_zero,2,21.022039638771556,0.02,0.52,HBR,0.0,0.001,0.024432842971246857,0.9780290946078216,1.0,0.997785473018799
known_zero,2,21.022039638771556,0.05,0.55,HBR,0.0,0.001,0.05583149983473282,0.9477228107223034,1.0,0.9978639979037548
jittered_zero,2,20.996435692539457,-0.05,0.45,HBR,0.0,0.001,0.06625090231904543,0.9381622031600517,1.0,0.9975844402969194
jittered_zero,2,20.996435692539457,-0.02,0.48,HBR,0.0,0.001,0.039082469980059556,0.96391727650466,1.0,0.9976700493836156
jittered_zero,2,20.996435692539457,-0.01,0.49,HBR,0.0,0.001,0.033298702050540814,0.9694814516285136,1.0,0.9976978882562574
jittered_zero,2,20.996435692539457,-0.005,0.495,HBR,0.0,0.001,0.03164188880053519,0.9710756096628144,1.0,0.9977116792957926
jittered_zero,2,20.996435692539457,-0.002,0.498,HBR,0.0,0.001,0.03113223565084735,0.9715626295074796,1.0,0.9977199131331135
jittered_zero,2,20.996435692539457,0.0,0.5,HBR,0.0,0.001,0.031006192292079002,0.9716797667678875,1.0,0.9977253854328189
jittered_zero,2,20.996435692539457,0.002,0.502,HBR,0.0,0.001,0.03105274737902005,0.9716292151651861,1.0,0.997730844230973
jittered_zero,2,20.996435692539457,0.005,0.505,HBR,0.0,0.001,0.03144053942545124,0.9712445518762685,1.0,0.9977390071849314
jittered_zero,2,20.996435692539457,0.01,0.51,HBR,0.0,0.001,0.0328778955047366,0.9698363711435223,1.0,0.997752545066614
jittered_zero,2,20.996435692539457,0.02,0.52,HBR,0.0,0.001,0.038112356909404115,0.964747124704856,1.0,0.9977793712611828
jittered_zero,2,20.996435692539457,0.05,0.55,HBR,0.0,0.001,0.06235052809479793,0.9415704370752448,1.0,0.9978578895106278
known_zero,3,25.01085758014569,-0.05,0.45,HBR,0.0,0.001,0.07153790182267036,0.9336977547960507,1.0,0.9970688983912502
known_zero,3,25.01085758014569,-0.02,0.48,HBR,0.0,0.001,0.030253404199841544,0.972935912267784,1.0,0.9971876230424622
known_zero,3,25.01085758014569,-0.01,0.49,HBR,0.0,0.001,0.0164956190546796,0.9863757877100621,1.0,0.9972261088581084
known_zero,3,25.01085758014569,-0.005,0.495,HBR,0.0,0.001,0.00961742155416936,0.9931646959802954,1.0,0.9972451517313279
known_zero,3,25.01085758014569,-0.002,0.498,HBR,0.0,0.001,0.005490725311757727,0.99726029084361,1.0,0.9972565139687737
known_zero,3,25.01085758014569,0.0,0.5,HBR,0.0,0.001,0.002739687052982978,0.9999999999999991,1.0,0.9972640624616474
known_zero,3,25.01085758014569,0.002,0.502,HBR,0.0,0.001,0.005468049297599316,0.9972678288300868,1.0,0.9972715899561181
known_zero,3,25.01085758014569,0.005,0.505,HBR,0.0,0.001,0.009532579191088363,0.9932114242265121,1.0,0.9972828419515204
known_zero,3,25.01085758014569,0.01,0.51,HBR,0.0,0.001,0.01623310613620869,0.9865601821055644,1.0,0.997301491097308
known_zero,3,25.01085758014569,0.02,0.52,HBR,0.0,0.001,0.029364465125608998,0.9736539570616771,1.0,0.9973384019118623
known_zero,3,25.01085758014569,0.05,0.55,HBR,0.0,0.001,0.06672502665027392,0.9378475617179498,1.0,0.9974460974616798
jittered_zero,3,24.902128954938,-0.05,0.45,HBR,0.0,0.001,0.15763832357358587,0.8566011123153524,1.0,0.9971486645021613
jittered_zero,3,24.902128954938,-0.02,0.48,HBR,0.0,0.001,0.14376714665300203,0.8684644529263259,1.0,0.9972652230897237
jittered_zero,3,24.902128954938,-0.01,0.49,HBR,0.0,0.001,0.14120717155609572,0.8706575646257254,1.0,0.9973030033025174
jittered_zero,3,24.902128954938,-0.005,0.495,HBR,0.0,0.001,0.14033669312376332,0.8713994500208556,1.0,0.9973216963884928
jittered_zero,3,24.902128954938,-0.002,0.498,HBR,0.0,0.001,0.13994607046544477,0.8717301560838657,1.0,0.9973328497100463
jittered_zero,3,24.902128954938,0.0,0.5,HBR,0.0,0.001,0.13974040727233547,0.871902979588369,1.0,0.997340259322323
jittered_zero,3,24.902128954938,0.002,0.502,HBR,0.0,0.001,0.1395783987464172,0.8720377861379158,1.0,0.997347648252492
jittered_zero,3,24.902128954938,0.005,0.505,HBR,0.0,0.001,0.13941682883188472,0.8721690340932947,1.0,0.9973586929925611
jittered_zero,3,24.902128954938,0.01,0.51,HBR,0.0,0.001,0.13936256248726372,0.872200356640641,1.0,0.9973769982817686
jittered_zero,3,24.902128954938,0.02,0.52,HBR,0.0,0.001,0.14003926351337737,0.8715786780094457,1.0,0.9974132272176164
jittered_zero,3,24.902128954938,0.05,0.55,HBR,0.0,0.001,0.1476804021506757,0.8648525560429545,1.0,0.9975189228396626
known_zero,4,30.424876125859512,-0.05,0.45,HBR,0.0,0.001,0.06845928448405882,0.9364674648638552,1.0,0.9971851834627672
known_zero,4,30.424876125859512,-0.02,0.48,HBR,0.0,0.001,0.028837968955268814,0.9741889664571849,1.0,0.9973156238610202
known_zero,4,30.424876125859512,-0.01,0.49,HBR,0.0,0.001,0.015703092344412306,0.9870276580623059,1.0,0.997357622482472
known_zero,4,30.424876125859512,-0.005,0.495,HBR,0.0,0.001,0.009149250623464302,0.993497077254125,1.0,0.9973783507765338
known_zero,4,30.424876125859512,-0.002,0.498,HBR,0.0,0.001,0.005221303028289686,0.9973948046693598,1.0,0.9973907018778032
known_zero,4,30.424876125859512,0.0,0.5,HBR,0.0,0.001,0.002604488374963011,0.9999999999999989,1.0,0.9973989003592768
known_zero,4,30.424876125859512,0.002,0.502,HBR,0.0,0.001,0.0051966861041441645,0.9974029889592034,1.0,0.9974070704807704
known_zero,4,30.424876125859512,0.005,0.505,HBR,0.0,0.001,0.009057135839003907,0.9935478324877147,1.0,0.997419272691357
known_zero,4,30.424876125859512,0.01,0.51,HBR,0.0,0.001,0.015417999081216835,0.987228077640945,1.0,0.9974394692221873
known_zero,4,30.424876125859512,0.02,0.52,HBR,0.0,0.001,0.02787195838684011,0.9749704493510974,1.0,0.9974793406220649
known_zero,4,30.424876125859512,0.05,0.55,HBR,0.0,0.001,0.0632187438157818,0.9410013264396799,1.0,0.997594882912464
jittered_zero,4,30.399674919671074,-0.05,0.45,HBR,0.0,0.001,0.07647295026915105,0.9290215285503006,1.0,0.9971544724775647
jittered_zero,4,30.399674919671074,-0.02,0.48,HBR,0.0,0.001,0.04468698117662752,0.9588996920719517,1.0,0.9972855156625912
