set,source_n,t
known_zero,1,14.134725141734695
jittered_zero,1,14.151482552448488
known_zero,2,21.022039638771556
jittered_zero,2,20.996435692539457
known_zero,3,25.01085758014569
jittered_zero,3,24.902128954938
known_zero,4,30.424876125859512
jittered_zero,4,30.399674919671074
known_zero,5,32.93506158773919
jittered_zero,5,32.960423164821364
known_zero,6,37.586178158825675
jittered_zero,6,37.51017958860205
known_zero,7,40.9187190121475
jittered_zero,7,40.765894027706324
known_zero,8,43.327073280915
jittered_zero,8,43.32183058735719
known_zero,9,48.00515088116716
jittered_zero,9,47.96419464484395
known_zero,10,49.7738324776723
jittered_zero,10,49.72853878341692
known_zero,11,52.970321477714464
jittered_zero,11,52.89373578635762
known_zero,12,56.44624769706339
jittered_zero,12,56.3502752964221
known_zero,13,59.34704400260235
jittered_zero,13,59.15154964820637
known_zero,14,60.83177852460981
jittered_zero,14,60.9099302516158
known_zero,15,65.1125440480816
jittered_zero,15,65.052123106459
known_zero,16,67.07981052949417
jittered_zero,16,66.84925636772533
known_zero,17,69.54640171117398
jittered_zero,17,69.48486026670199
known_zero,18,72.0671576744819
jittered_zero,18,72.05684870358684
known_zero,19,75.70469069908393
jittered_zero,19,75.57080854589069
known_zero,20,77.1448400688748
jittered_zero,20,77.11252035437101
known_zero,21,79.33737502024937
jittered_zero,21,79.30009662629865
known_zero,22,82.91038085408603
jittered_zero,22,83.08769473868333
known_zero,23,84.73549298051705
jittered_zero,23,84.51612257992386
known_zero,24,87.42527461312523
jittered_zero,24,87.54645747925322
known_zero,25,88.80911120763446
jittered_zero,25,88.83893309019668
known_zero,26,92.49189927055849
jittered_zero,26,92.46234974832157
known_zero,27,94.65134404051989
jittered_zero,27,94.76011070554453
known_zero,28,95.87063422824531
jittered_zero,28,95.70730159461198
known_zero,29,98.83119421819369
jittered_zero,29,98.93802221250124
known_zero,30,101.31785100573138
jittered_zero,30,101.45418708406415
known_zero,31,103.72553804047834
jittered_zero,31,103.69770123250304
known_zero,32,105.44662305232609
jittered_zero,32,105.5685419155486
known_zero,33,107.1686111842764
jittered_zero,33,107.16051235321373
known_zero,34,111.02953554316967
jittered_zero,34,111.01479129312351
known_zero,35,111.87465917699264
jittered_zero,35,112.11561304166068
known_zero,36,114.32022091545271
jittered_zero,36,114.26717901645753
known_zero,37,116.22668032085755
jittered_zero,37,116.2855229268188
known_zero,38,118.79078286597621
jittered_zero,38,118.67966323637259
known_zero,39,121.37012500242065
jittered_zero,39,121.5525877800734
known_zero,40,122.94682929355258
jittered_zero,40,122.87399996059301
random_critical_line,1,115.67481788659867
random_critical_line,2,16.26644896251567
random_critical_line,3,66.1615120626664
random_critical_line,4,93.22698521085066
random_critical_line,5,75.52126666078637
random_critical_line,6,84.22539179414463
random_critical_line,7,55.91558846826685
random_critical_line,8,14.4429103246933
random_critical_line,9,78.36085164653298
random_critical_line,10,87.3354419751233
random_critical_line,11,71.58277162104798
random_critical_line,12,104.59533483358547
random_critical_line,13,44.573968321733346
random_critical_line,14,52.06573865508001
random_critical_line,15,34.083930540703776
random_critical_line,16,20.878369869579164
random_critical_line,17,103.60153443879253
random_critical_line,18,16.493213114599975
random_critical_line,19,83.72452343010441
random_critical_line,20,57.745680608883475
random_critical_line,21,84.02280967991845
random_critical_line,22,109.77912990487772
random_critical_line,23,78.24505918641165
random_critical_line,24,21.2302572155262
random_critical_line,25,74.17467388308766
random_critical_line,26,114.3658193455127
random_critical_line,27,51.63755610637329
random_critical_line,28,81.56375628658915
random_critical_line,29,119.75687489087834
random_critical_line,30,17.246610081763357
random_critical_line,31,74.17271923470066
random_critical_line,32,25.70418411220618
random_critical_line,33,52.08932885627607
random_critical_line,34,85.31831083971072
random_critical_line,35,42.290143080909836
random_critical_line,36,119.4631652959751
random_critical_line,37,64.20461405797917
random_critical_line,38,82.71226490614599
random_critical_line,39,42.9795477337457
random_critical_line,40,28.430002041193422
