dataset_id,family,split,policy,n_vars,n_clauses,alpha,solved,sat,timeout,decisions,propagations,conflicts,learned_clauses,max_level,gate_value,runtime_s,compute_cost
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,79,276,28,27,27,4.107761841814248e-05,0.041486999980406836,52.804
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,42,117,16,15,24,4.107761841814248e-05,0.023256749991560355,29.068
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,45,99,15,14,19,4.107761841814248e-05,0.023193375003756955,28.896
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,progress_only,100,160,1.6,1,0,0,87,116,18,17,27,4.107761841814248e-05,0.039141208020737395,44.56399999999999
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,119,163,18,17,28,4.107761841814248e-05,0.054538500000489876,54.352
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,gate_v17,100,160,1.6,1,0,0,121,179,18,17,37,4.107761841814248e-05,0.05640075000701472,55.016
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,gate_shuffled_R,100,160,1.6,1,0,0,111,179,24,23,34,4.107761841814248e-05,0.05370691599091515,58.016
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,193,386,30,29,35,3.722191691291002e-05,0.08585366699844599,89.444
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,73,227,25,24,30,3.722191691291002e-05,0.03360912500647828,47.808
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,74,315,36,35,26,3.722191691291002e-05,0.04261462501017377,59.46
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,progress_only,100,160,1.6,1,0,0,171,195,24,23,41,3.722191691291002e-05,0.07532095900387503,76.08
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,191,412,37,36,32,3.722191691291002e-05,0.09266883399686776,95.948
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,gate_v17,100,160,1.6,1,0,0,131,387,41,40,36,3.722191691291002e-05,0.0686349580064416,81.848
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,gate_shuffled_R,100,160,1.6,1,0,0,159,219,24,23,42,0.03429631491696159,0.07272054202621803,72.576
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,vsids,100,157,1.57,1,0,0,124,518,47,46,27,3.238612151511056e-05,0.06600666599115357,86.27199999999999
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,moms,100,157,1.57,1,0,0,81,203,25,24,28,3.238612151511056e-05,0.03966333399876021,50.111999999999995
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,jeroslow_wang,100,157,1.57,1,0,0,95,223,26,25,23,3.238612151511056e-05,0.04710087500279769,55.392
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,progress_only,100,157,1.57,1,0,0,111,280,31,30,29,3.238612151511056e-05,0.05113516701385379,65.42
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,score_with_R,100,157,1.57,1,0,0,156,249,30,29,35,3.238612151511056e-05,0.07204274999094196,77.79599999999999
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,gate_v17,100,157,1.57,1,0,0,118,475,42,41,42,3.238612151511056e-05,0.06029162500635721,79.30000000000001
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,gate_shuffled_R,100,157,1.57,1,0,0,204,248,23,22,41,0.036841315093140335,0.08953362499596551,85.192
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,vsids,100,160,1.6,1,0,0,102,286,27,26,22,4.0307861328311855e-05,0.04983737500151619,58.74399999999999
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,moms,100,160,1.6,1,0,0,48,105,17,16,21,4.0307861328311855e-05,0.02619900001445785,31.82
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,0,0,70,99,17,16,26,4.0307861328311855e-05,0.03530983399832621,38.396
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,progress_only,100,160,1.6,1,0,0,117,136,19,18,32,4.0307861328311855e-05,0.05312516700359993,54.644
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,0,0,152,183,20,19,35,4.0307861328311855e-05,0.07027512497734278,66.332
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,gate_v17,100,160,1.6,1,0,0,93,200,24,23,28,4.0307861328311855e-05,0.04663741702097468,52.699999999999996
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,gate_shuffled_R,100,160,1.6,1,0,0,174,166,20,19,38,3.722191691291002e-05,0.07981283299159259,72.86399999999999
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,vsids,100,160,1.6,1,1,0,84,455,28,28,17,4.528409810057287e-05,0.038054042001022026,55.02
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,moms,100,160,1.6,1,1,0,43,245,17,17,20,4.528409810057287e-05,0.02245354201295413,30.88
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,jeroslow_wang,100,160,1.6,1,1,0,60,462,26,26,17,4.528409810057287e-05,0.0321843340061605,45.848
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,progress_only,100,160,1.6,1,1,0,65,177,13,13,23,4.528409810057287e-05,0.029489916982129216,33.208
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,score_with_R,100,160,1.6,1,1,0,50,255,14,14,19,4.528409810057287e-05,0.020814624993363395,30.02
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,gate_v17,100,160,1.6,1,1,0,108,401,27,27,24,4.528409810057287e-05,0.046915374987293035,61.004
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,gate_shuffled_R,100,160,1.6,1,1,0,78,336,20,20,20,4.0307861328311855e-05,0.03993054199963808,44.744
dubois_dubois100,satlib_dimacs_dubois,test,vsids,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10031241699471138,30.396
dubois_dubois100,satlib_dimacs_dubois,test,moms,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10429083398776129,30.396
dubois_dubois100,satlib_dimacs_dubois,test,jeroslow_wang,300,396,1.32,1,1,0,100,99,0,0,100,9.76807816930188e-07,0.10364854198996909,30.396
